Name                      Max Probability    beta (X)    gamma (ZZ)
8v5 3                          0.115575        1.139         0.9285
8v4 1 3                        0.031288        0.8763        0.8064
8v4 1 2 1                      0.0173583       0.3068        2.9117
8v4 1 1 1 1                    0.0476449       0.6827        1.0122
8v4 1 1 2                      0.0419527       0.973         1.3228
8v4 2 2                        0.0760588       1.194         1.1719
8v4 2 1 1                      0.0300479       0.495         1.7076
8v4 3 1                        0.0357251       1.12          0.6437
8v4 4                          0.0522318       1.181         0.8467
8v3 1 3 1                      0.0168155       1.105         0.1556
8v3 1 2 1 1                    0.0255711       0.7245        1.0664
8v3 1 2 2                      0.0248158       1.345         1.8066
8v3 1 1 1 2                    0.0412192       1.254         2.037
8v3 1 1 1 1 1                  0.0316866       1.293         2.4489
8v3 1 1 2 1                    0.021885        0.6306        1.6038
8v3 1 1 3                      0.022497        0.878         1.0675
8v3 2 3                        0.0336154       1.187         1.1037
8v3 2 2 1                      0.0271081       1.151         1.3693
8v3 2 1 1 1                    0.0300479       1.076         1.7076
8v3 2 1 2                      0.0369078       1.154         1.7774
8v3 3 2                        0.0559969       1.127         0.9844
8v3 3 1 1                      0.018061        0.1921        2.712
8v3 4 1                        0.0344867       1.213         0.5748
8v2 1 4 1                      0.043102        0.7466        2.2501
8v2 1 3 1 1                    0.0171759       1.334         2.9132
8v2 1 3 2                      0.0276579       0.7818        2.1838
8v2 1 2 1 2                    0.0275013       1.116         2.3558
8v2 1 2 1 1 1                  0.0452653       1.16          2.4003
8v2 1 2 2 1                    0.0233916       1.26          2.3635
8v2 1 1 1 2 1                  0.0612281       0.9989        2.1703
8v2 1 1 1 1 1 1                0.0994579       1.146         2.3201
8v2 1 1 1 1 2                  0.0718421       1.105         2.2083
8v2 1 1 2 2                    0.0831447       1.126         2.0784
8v2 1 1 2 1 1                  0.0402366       1.24          2.4821
8v2 1 1 3 1                    0.043102        0.8242        2.2501
8v2 2 3 1                      0.020834        1.305         0.6543
8v2 2 2 1 1                    0.0277357       1.266         2.2395
8v2 2 2 2                      0.0454844       1.131         1.655
8v2 2 1 1 1 1                  0.0411646       0.3182        0.8638
8v2 2 1 2 1                    0.0440632       0.9952        1.9545
8v2 3 2 1                      0.0440632       0.5756        1.9545
8v2 3 1 1 1                    0.0173583       1.264         2.9117
8v2 4 2                        0.0279421       1.244         0.9463
8v2 4 1 1                      0.0176418       0.2192        2.7736
8v2 5 1                        0.0612281       0.5719        2.1703
8v1 1 5 1                      0.0412192       0.3165        2.037
8v1 1 4 1 1                    0.0105997       0.1673        1.7179
8v1 1 3 1 1 1                  0.031288        0.6945        0.8064
8v1 1 3 2 1                    0.0248158       0.2263        1.8066
8v1 1 2 1 2 1                  0.0559969       0.4442        0.9844
8v1 1 2 1 1 1 1                0.115575        0.4314        0.9285
8v1 1 2 2 1 1                  0.0336154       0.3837        1.1037
8v1 1 2 3 1                    0.0369078       0.4166        1.7774
8v1 1 1 1 3 1                  0.0308862       0.8176        2.1978
8v1 1 1 1 1 1 1 1              0.131451        0.4403        0.9468
8v1 1 1 1 1 2 1                0.119492        0.3914        0.9519
8v1 1 1 2 2 1                  0.0760588       0.3773        1.1719
8v1 1 1 2 1 1 1                0.0522318       0.3898        0.8467
8v1 1 1 4 1                    0.0419527       0.5978        1.3228
8v1 2 4 1                      0.0831447       0.4452        2.0784
8v1 2 2 2 1                    0.0454844       0.4403        1.655
8v1 2 1 1 2 1                  0.0279421       0.3264        0.9463
8v1 2 1 3 1                    0.0198307       0.116         1.6138
8v1 3 3 1                      0.0275013       0.4545        2.3558
8v1 6 1                        0.0718421       0.4654        2.2083
9v9                            0.0956283       1.13          0.9392
9v8 1                          0.0517614       1.149         0.7164
9v7 1 1                        0.0327211       0.8761        1.0068
9v7 2                          0.0864206       1.175         0.9376
9v6 1 2                        0.0179032       1.355         0.6726
9v6 1 1 1                      0.0340749       0.8954        1.0462
9v6 2 1                        0.0399779       0.405         2.261
9v6 3                          0.0836823       1.135         0.9193
9v5 1 3                        0.0196258       0.947         0.6346
9v5 1 2 1                      0.0100242       1.359         0.3723
9v5 1 1 1 1                    0.0216376       0.7854        0.7854
9v5 1 1 2                      0.0302467       1.003         1.4659
9v5 2 2                        0.0572561       1.168         1.1841
9v5 2 1 1                      0.0162605       0.3598        1.9619
9v5 3 1                        0.0305857       0.3942        2.4225
9v5 4                          0.0781047       1.167         0.8726
9v4 1 4                        0.0117548       0.8339        1.1259
9v4 1 3 1                      0.0106889       0.5991        2.7291
9v4 1 2 1 1                    0.0078125       0.0196        3.1416
9v4 1 2 2                      0.0134254       1.363         1.3833
9v4 1 1 1 2                    0.0183409       1.215         1.5816
9v4 1 1 1 1 1                  0.0340749       0.6754        1.0462
9v4 1 1 2 1                    0.0100703       0.725         2.4249
9v4 1 1 3                      0.0312143       0.8925        1.0988
9v4 2 3                        0.0459554       1.2           1.0195
9v4 2 2 1                      0.0264164       0.4337        1.9737
9v4 2 1 1 1                    0.0123533       0.4282        1.5469
9v4 2 1 2                      0.0186255       1.024         1.6051
9v4 3 2                        0.0376969       1.178         0.8676
9v4 3 1 1                      0.011648        0.2602        2.6045
9v4 4 1                        0.0336678       0.4086        2.3435
9v3 1 4 1                      0.0103023       0.272         2.8277
9v3 1 3 1 1                    0.0078125       0             3.1056
9v3 1 3 2                      0.0166264       0.8466        1.5476
9v3 1 2 1 2                    0.016729        0.8552        1.6186
9v3 1 2 1 1 1                  0.011648        1.311         2.6045
9v3 1 2 2 1                    0.0166601       0.7212        1.5484
9v3 1 2 3                      0.011848        1.386         1.335
9v3 1 1 1 3                    0.0064719       1.347         1.7955
9v3 1 1 1 2 1                  0.0113597       1.28          2.6103
9v3 1 1 1 1 1 1                0.0327211       0.6947        1.0068
9v3 1 1 1 1 2                  0.0283161       1.248         2.1757
9v3 1 1 2 2                    0.0181452       1.275         1.8986
9v3 1 1 2 1 1                  0.0226506       0.7328        1.2203
9v3 1 1 3 1                    0.00983342      0.7135        2.3477
9v3 2 3 1                      0.0166601       0.8498        1.5481
9v3 2 2 1 1                    0.00906232      1.335         1.9647
9v3 2 2 2                      0.0447962       1.124         1.4371
9v3 2 1 1 2                    0.0322059       1.066         1.7233
9v3 2 1 1 1 1                  0.0162605       1.211         1.9619
9v3 2 1 2 1                    0.0179538       0.929         1.6215
9v3 3 3                        0.0222625       1.031         1.0964
9v3 3 2 1                      0.013931        1.272         0.701
9v3 3 1 1 1                    0.0227477       0.8459        1.2213
9v3 3 1 2                      0.0107335       1.426         0.6819
9v3 4 2                        0.0368901       1.213         0.8629
9v3 4 1 1                      0.0226506       0.8379        1.2203
9v3 5 1                        0.0246566       1.181         0.6436
9v2 1 5 1                      0.0308235       0.7098        2.1528
9v2 1 4 1 1                    0.00983342      0.8573        2.3477
9v2 1 4 2                      0.0264766       0.8234        2.0372
9v2 1 3 1 2                    0.0118384       0.84          1.9679
9v2 1 3 1 1 1                  0.0106889       0.9717        2.7291
9v2 1 3 2 1                    0.0237361       0.7066        1.9305
9v2 1 2 1 2 1                  0.0196913       1.023         2.268
9v2 1 2 1 1 1 1                0.0305857       1.177         2.4225
9v2 1 2 1 1 2                  0.0404378       1.148         2.3294
9v2 1 2 2 2                    0.0310073       1.188         2.0398
9v2 1 2 2 1 1                  0.0166601       0.721         1.5481
9v2 1 2 3 1                    0.00869195      0.7854        2.6565
9v2 1 1 1 3 1                  0.0308235       0.861         2.1528
9v2 1 1 1 2 1 1                0.0246566       0.3901        0.6436
9v2 1 1 1 2 2                  0.0639503       1.103         2.0609
9v2 1 1 1 1 1 2                0.0528719       1.105         2.2028
9v2 1 1 1 1 1 1 1              0.0720375       1.145         2.3155
9v2 1 1 1 1 2 1                0.04321         1.012         2.1879
9v2 1 1 2 2 1                  0.0144089       0.2822        0.7283
9v2 1 1 2 1 1 1                0.0336678       1.162         2.3435
9v2 1 1 3 2                    0.0119902       1.405         1.9592
9v2 1 1 3 1 1                  0.016684        0.851         1.608
9v2 1 1 4 1                    0.0216376       0.7854        2.3562
9v2 2 4 1                      0.0174976       0.338         2.2665
9v2 2 3 1 1                    0.0166601       0.8496        1.5484
9v2 2 3 2                      0.0262264       1.222         1.1655
9v2 2 2 1 1 1                  0.0264164       1.137         1.9737
9v2 2 2 2 1                    0.0182956       0.3797        1.6629
9v2 2 1 1 2 1                  0.0249052       0.9343        1.9827
9v2 2 1 1 1 1 1                0.0399779       1.166         2.261
9v2 2 1 2 2                    0.0214532       1.056         1.9172
9v2 2 1 2 1 1                  0.013931        0.2983        0.701
9v2 2 1 3 1                    0.0237361       0.8642        1.9305
9v2 3 3 1                      0.0129576       1.215         0.5495
9v2 3 2 1 1                    0.0179538       0.6418        1.6215
9v2 3 1 1 1 1                  0.0106595       1.132         2.8205
9v2 3 1 2 1                    0.00869195      0.7854        2.6565
9v2 4 2 1                      0.0249052       0.6365        1.9827
9v2 4 1 1 1                    0.0102412       0.8833        0.7832
9v2 5 2                        0.021175        1.209         0.991
9v2 5 1 1                      0.0113597       0.2907        2.6103
9v2 6 1                        0.04321         0.5591        2.1879
9v1 1 6 1                      0.0283161       0.3227        2.1757
9v1 1 5 1 1                    0.0121283       0.717         1.1281
9v1 1 4 1 1 1                  0.0312143       0.6783        1.0988
9v1 1 4 2 1                    0.0181452       0.2961        1.8986
9v1 1 3 1 2 1                  0.0106744       0.1658        0.5521
9v1 1 3 1 1 1 1                0.0196258       0.6238        0.6346
9v1 1 3 2 1 1                  0.011848        0.1847        1.335
9v1 1 3 3 1                    0.016729        0.7156        1.6186
9v1 1 2 1 3 1                  0.0107335       0.145         0.6819
9v1 1 2 1 2 1 1                0.0222625       0.5399        1.0964
9v1 1 2 1 1 1 1 1              0.0836823       0.4355        0.9193
9v1 1 2 1 1 2 1                0.0368901       0.3579        0.8629
9v1 1 2 2 2 1                  0.0447962       0.447         1.4371
9v1 1 2 2 1 1 1                0.0459554       0.3704        1.0195
9v1 1 2 4 1                    0.0322059       0.5052        1.7233
9v1 1 1 1 4 1                  0.0302467       0.568         1.4659
9v1 1 1 1 2 1 1 1              0.0781047       0.4039        0.8726
9v1 1 1 1 2 2 1                0.0572561       0.403         1.1841
9v1 1 1 1 1 1 2 1              0.0864206       0.396         0.9376
9v1 1 1 1 1 1 1 1 1            0.0956283       0.4408        0.9392
9v1 1 1 1 1 3 1                0.0179032       0.2159        0.6726
9v1 1 1 2 3 1                  0.0186255       0.547         1.6051
9v1 1 1 2 1 2 1                0.0376969       0.3931        0.8676
9v1 1 1 3 2 1                  0.0134254       0.2082        1.3833
9v1 1 1 3 1 1 1                0.0117548       0.7369        1.1259
9v1 1 1 5 1                    0.0183409       0.3554        1.5816
9v1 2 5 1                      0.0639503       0.4682        2.0609
9v1 2 3 2 1                    0.0214532       0.515         1.9172
9v1 2 2 1 2 1                  0.0262264       0.3486        1.1655
9v1 2 2 3 1                    0.0310073       0.3828        2.0398
9v1 2 1 1 3 1                  0.0115741       0.1474        1.1933
9v1 2 1 1 1 2 1                0.021175        0.3616        0.991
9v1 2 1 4 1                    0.0119902       0.166         1.9592
9v1 3 4 1                      0.0404378       0.423         2.3294
9v1 3 1 3 1                    0.0118384       0.7308        1.9679
9v1 7 1                        0.0528719       0.4659        2.2028
10v10                          0.0695974       1.13          0.9333
10v9 1                         0.0372797       1.146         0.7356
10v8 1 1                       0.0154708       0.3241        2.3907
10v8 2                         0.0628401       1.169         0.9326
10v7 1 2                       0.0119315       1.295         0.5724
10v7 1 1 1                     0.0222443       0.9171        1.0132
10v7 2 1                       0.020857        1.228         0.8606
10v7 3                         0.0606508       1.138         0.9093
10v6 1 3                       0.0136452       0.9465        0.7048
10v6 1 2 1                     0.00625728      1.34          0.4569
10v6 1 1 1 1                   0.0141848       0.8189        0.8512
10v6 1 1 2                     0.0176642       0.9636        1.1821
10v6 2 2                       0.0396499       1.175         1.1101
10v6 2 1 1                     0.0114722       0.3703        2.0296
10v6 3 1                       0.022035        0.3974        2.4031
10v6 4                         0.0564231       1.162         0.8697
10v5 1 4                       0.0127942       0.929         0.6824
10v5 1 3 1                     0.00872879      0.7291        2.102
10v5 1 2 1 1                   0.00418358      0.1049        2.758
10v5 1 2 2                     0.008629        1.319         1.3542
10v5 1 1 1 2                   0.0147637       1.113         1.607
10v5 1 1 1 1 1                 0.0141848       0.7519        0.8512
10v5 1 1 2 1                   0.0089276       0.7333        2.1842
10v5 1 1 3                     0.0187781       0.923         1.0495
10v5 2 3                       0.0344663       1.181         1.0349
10v5 2 2 1                     0.0160855       0.3684        2.161
10v5 2 1 1 1                   0.00988989      1.074         1.5122
10v5 2 1 2                     0.0124779       1.122         1.5783
10v5 3 2                       0.0282351       1.16          0.8993
10v5 3 1 1                     0.00773286      0.2904        2.5591
10v5 4 1                       0.0225381       0.3909        2.3803
10v5 5                         0.029425        1.155         0.8984
10v4 1 4 1                     0.00673481      0.5396        2.7346
10v4 1 3 1 1                   0.00416195      0.1584        2.921
10v4 1 3 2                     0.00641712      0.911         1.2202
10v4 1 2 1 2                   0.00757018      0.7818        1.1901
10v4 1 2 1 1 1                 0.00974365      0.6804        0.9879
10v4 1 2 2 1                   0.0044704       0.1293        2.3087
10v4 1 2 3                     0.00748604      1.375         1.0738
10v4 1 1 1 3                   0.0133039       0.8581        0.9374
10v4 1 1 1 2 1                 0.0078807       0.5357        1.3669
10v4 1 1 1 1 1 1               0.0062486       1.34          1.8549
10v4 1 1 1 1 2                 0.0101279       1.267         1.7197
10v4 1 1 2 2                   0.00985848      1.133         1.5521
10v4 1 1 2 1 1                 0.0114513       0.7199        1.0087
10v4 1 1 3 1                   0.00733282      0.688         2.276
10v4 1 1 4                     0.0101562       0.9197        1.0622
10v4 2 4                       0.0159732       1.205         0.9759
10v4 2 3 1                     0.0127856       0.358         2.2893
10v4 2 2 1 1                   0.00988233      0.4979        1.7029
10v4 2 2 2                     0.0261535       1.175         1.2441
10v4 2 1 1 2                   0.0131709       1.116         1.5854
10v4 2 1 1 1 1                 0.00651046      1.199         1.6536
10v4 2 1 2 1                   0.00768835      1.031         1.4995
10v4 2 1 3                     0.00742464      1.38          1.0205
10v4 3 3                       0.0276088       1.109         0.9058
10v4 3 2 1                     0.014666        0.4644        2.2086
10v4 3 1 1 1                   0.00974365      0.8904        0.9879
10v4 3 1 2                     0.00681775      1.331         0.4909
10v4 4 2                       0.0256744       1.217         0.8402
10v4 4 1 1                     0.00792875      0.2745        2.4819
10v4 5 1                       0.0250753       0.4284        2.3038
10v3 1 5 1                     0.00643691      0.2996        2.778
10v3 1 4 1 1                   0.00416388      0.1471        2.9036
10v3 1 4 2                     0.00680082      1.339         0.4981
10v3 1 3 1 2                   0.00592825      0.8993        1.7652
10v3 1 3 1 1 1                 0.00542508      0.7865        0.6545
10v3 1 3 2 1                   0.00424275      1.391         0.256
10v3 1 3 3                     0.0078949       0.935         0.8981
10v3 1 2 1 3                   0.00235365      1.473         1.8189
10v3 1 2 1 2 1                 0.00463948      0.8633        2.05
10v3 1 2 1 1 1 1               0.00773286      1.28          2.5591
10v3 1 2 1 1 2                 0.00911947      1.262         2.4097
10v3 1 2 2 2                   0.00773263      1.318         1.7825
10v3 1 2 2 1 1                 0.00623702      0.6583        1.3337
10v3 1 2 3 1                   0.00437303      0.1754        2.79
10v3 1 1 1 3 1                 0.00501207      0.8267        2.6281
10v3 1 1 1 2 1 1               0.00913053      0.6883        0.9085
10v3 1 1 1 2 2                 0.0137706       1.185         1.8356
10v3 1 1 1 1 1 2               0.0203488       1.225         2.1934
10v3 1 1 1 1 1 1 1             0.0209097       0.6725        0.9451
10v3 1 1 1 1 2 1               0.00777468      1.24          2.4933
10v3 1 1 1 1 3                 0.0053364       0.7979        0.9023
10v3 1 1 2 3                   0.00787648      1.209         1.6334
10v3 1 1 2 2 1                 0.0080748       0.5972        1.6385
10v3 1 1 2 1 1 1               0.00792875      1.296         2.4819
10v3 1 1 2 1 2                 0.00904344      1.298         2.3553
10v3 1 1 3 2                   0.0071409       0.942         1.0468
10v3 1 1 3 1 1                 0.00788296      0.7843        0.9726
10v3 1 1 4 1                   0.00869474      0.8063        0.964
10v3 2 4 1                     0.00947095      1.26          0.6871
10v3 2 3 1 1                   0.0047396       0.1877        2.5351
10v3 2 3 2                     0.0158685       1.221         0.9982
10v3 2 2 1 2                   0.0111158       1.185         1.8059
10v3 2 2 1 1 1                 0.00988233      1.073         1.7029
10v3 2 2 2 1                   0.00866362      0.324         2.1114
10v3 2 2 3                     0.0123945       1.135         1.2764
10v3 2 1 1 2 1                 0.00871387      1.014         1.6806
10v3 2 1 1 1 1 1               0.0114722       1.201         2.0296
10v3 2 1 1 1 2                 0.0219688       1.108         1.7914
10v3 2 1 2 2                   0.0152692       1.116         1.682
10v3 2 1 2 1 1                 0.00548165      0.7259        1.3287
10v3 2 1 3 1                   0.00424426      1.392         0.2601
10v3 3 3 1                     0.00999245      0.9845        0.9791
10v3 3 2 1 1                   0.00483114      0.2029        2.4413
10v3 3 2 2                     0.0176969       1.156         1.1453
10v3 3 1 1 2                   0.00794586      0.8944        1.09
10v3 3 1 1 1 1                 0.00927962      0.8067        1.0665
10v3 3 1 2 1                   0.00424578      1.395         0.2659
10v3 4 3                       0.0126386       1.174         0.8241
10v3 4 2 1                     0.00978981      1.265         0.7592
10v3 4 1 1 1                   0.0114513       0.8509        1.0087
10v3 4 1 2                     0.0068589       1.371         0.6014
10v3 5 2                       0.0284427       1.18          0.9254
10v3 5 1 1                     0.00764177      0.2603        2.539
10v3 6 1                       0.0200727       0.3555        2.4362
10v2 1 6 1                     0.0201218       0.6871        2.1944
10v2 1 5 1 1                   0.00501207      0.7441        2.6281
10v2 1 5 2                     0.0122868       0.7854        2.1866
10v2 1 4 1 2                   0.00849164      0.8564        2.1142
10v2 1 4 1 1 1                 0.00733282      0.8828        2.276
10v2 1 4 2 1                   0.0113964       0.7189        2.1327
10v2 1 3 1 2 1                 0.00565237      0.8444        2.4952
10v2 1 3 1 1 1 1               0.00872879      0.8417        2.102
10v2 1 3 1 1 2                 0.0104972       0.8519        2.3079
10v2 1 3 2 2                   0.00564631      1.41          1.6343
10v2 1 3 2 1 1                 0.00594477      0.669         1.7666
10v2 1 3 3 1                   0.00971796      0.6791        2.1782
10v2 1 2 1 3 1                 0.00971796      0.8916        2.1782
10v2 1 2 1 2 1 1               0.00972447      1.229         2.5309
10v2 1 2 1 2 2                 0.0193755       1.052         2.1271
10v2 1 2 1 1 1 2               0.0305873       1.126         2.2881
10v2 1 2 1 1 1 1 1             0.022035        1.173         2.403
10v2 1 2 1 1 2 1               0.0119061       0.9659        2.2863
10v2 1 2 2 2 1                 0.00595993      0.2921        0.8542
10v2 1 2 2 1 1 1               0.0127856       1.213         2.2893
10v2 1 2 2 1 2                 0.00759584      1.216         2.2624
10v2 1 2 3 2                   0.00686942      1.27          1.6327
10v2 1 2 3 1 1                 0.00437303      1.395         2.79
10v2 1 2 4 1                   0.00495892      0.6979        2.6632
10v2 1 1 1 4 1                 0.0142855       0.8297        2.2876
10v2 1 1 1 3 1 1               0.00643691      1.271         2.778
10v2 1 1 1 3 2                 0.00924679      0.8824        2.4319
10v2 1 1 1 2 1 1 1             0.0250753       1.142         2.3038
10v2 1 1 1 2 2 1               0.0126854       1.211         2.2565
10v2 1 1 1 1 1 2 1             0.03059         1.044         2.2202
10v2 1 1 1 1 1 1 1 1           0.0524843       1.142         2.3062
10v2 1 1 1 1 1 1 2             0.038368        1.108         2.2113
10v2 1 1 1 1 2 2               0.0439174       1.12          2.1328
10v2 1 1 1 1 2 1 1             0.0200727       1.215         2.4362
10v2 1 1 1 1 3 1               0.0201218       0.8837        2.1944
10v2 1 1 2 3 1                 0.00495892      0.8729        2.6632
10v2 1 1 2 2 1 1               0.0116502       1.251         2.3543
10v2 1 1 2 2 2                 0.0255223       1.159         1.9883
10v2 1 1 2 1 1 2               0.0152236       1.158         2.2892
10v2 1 1 2 1 1 1 1             0.0225381       1.18          2.3803
10v2 1 1 2 1 2 1               0.0141701       1.053         2.2386
10v2 1 1 3 2 1                 0.00972912      0.7318        2.0881
10v2 1 1 3 1 1 1               0.00829559      0.7773        1.0846
10v2 1 1 4 2                   0.0136886       0.8528        2.1314
10v2 1 1 4 1 1                 0.00684924      0.9753        1.995
10v2 1 1 5 1                   0.0142855       0.7411        2.2876
10v2 2 5 1                     0.0126854       0.3597        2.2565
10v2 2 4 1 1                   0.00424163      1.422         0.3014
10v2 2 4 2                     0.0185253       1.228         1.1178
10v2 2 3 1 1 1                 0.00654341      0.9551        1.3538
10v2 2 3 2 1                   0.0072357       0.3468        2.1496
10v2 2 2 1 2 1                 0.0121587       1.055         1.875
10v2 2 2 1 1 1 1               0.0130806       0.3612        1.0723
10v2 2 2 2 2                   0.0165126       1.131         1.641
10v2 2 2 2 1 1                 0.00866362      1.247         2.1114
10v2 2 2 3 1                   0.00733864      0.3378        2.1093
10v2 2 1 1 3 1                 0.0113964       0.8519        2.1327
10v2 2 1 1 2 1 1               0.0111665       1.247         2.4225
10v2 2 1 1 2 2                 0.0124693       1.149         2.0287
10v2 2 1 1 1 1 1 1             0.0295036       1.152         2.2434
10v2 2 1 1 1 2 1               0.0173779       1.069         2.101
10v2 2 1 2 2 1                 0.00648249      0.2827        1.09
10v2 2 1 2 1 1 1               0.014666        1.106         2.2086
10v2 2 1 3 2                   0.00657957      0.8861        1.9909
10v2 2 1 3 1 1                 0.00435591      1.375         2.8405
10v2 2 1 4 1                   0.00972912      0.839         2.0881
10v2 3 4 1                     0.0141701       0.5179        2.2386
10v2 3 3 1 1                   0.00443342      0.2418        2.8114
10v2 3 3 2                     0.00690636      1.161         0.9407
10v2 3 2 1 1 1                 0.00768835      0.5398        1.4995
10v2 3 2 2 1                   0.0121587       0.5157        1.875
10v2 3 1 1 2 1                 0.00791545      0.7702        2.1572
10v2 3 1 1 1 1 1               0.00688629      1.13          2.7466
10v2 3 1 2 1 1                 0.00436252      1.371         2.8364
10v2 3 1 3 1                   0.00565237      0.7264        2.4952
10v2 4 3 1                     0.00885176      1.227         0.6011
10v2 4 2 1 1                   0.00871387      0.5565        1.6806
10v2 4 1 1 1 1                 0.0089276       0.8375        2.1842
10v2 4 1 2 1                   0.00791545      0.8006        2.1572
10v2 5 2 1                     0.0173779       0.5015        2.101
10v2 5 1 1 1                   0.0078807       1.035         1.3669
10v2 6 2                       0.0148095       1.208         0.9385
10v2 6 1 1                     0.00703837      0.9313        0.7942
10v2 7 1                       0.03059         0.5263        2.2202
10v1 1 7 1                     0.0203488       0.3461        2.1934
10v1 1 6 1 1                   0.00401549      0.2207        1.9723
10v1 1 5 1 1 1                 0.0133039       0.7127        0.9374
10v1 1 5 2 1                   0.0137706       0.3859        1.8356
10v1 1 4 1 2 1                 0.00465085      0.8844        1.8892
10v1 1 4 1 1 1 1               0.0187781       0.6478        1.0495
10v1 1 4 2 1 1                 0.00787648      0.3619        1.6334
10v1 1 4 3 1                   0.00904344      0.2727        2.3553
10v1 1 3 1 3 1                 0.00592825      0.6715        1.7652
10v1 1 3 1 2 1 1               0.0078949       0.6358        0.8981
10v1 1 3 1 1 1 1 1             0.0136452       0.6243        0.7048
10v1 1 3 1 1 2 1               0.00680082      0.2323        0.4981
10v1 1 3 2 2 1                 0.00773263      0.2524        1.7825
10v1 1 3 2 1 1 1               0.00742464      0.191         1.0205
10v1 1 3 3 1 1                 0.00235365      0.0976        1.8189
10v1 1 3 4 1                   0.00911947      0.309         2.4097
10v1 1 2 1 4 1                 0.00521323      0.1589        1.6543
10v1 1 2 1 2 1 1 1             0.0276088       0.462         0.9058
10v1 1 2 1 2 2 1               0.0176969       0.415         1.1453
